ReceTime(s)	Throughput Rate(Mbps)
1556527277.497775	35.858347
1556527277.498988	154.848044
1556527277.499988	0
1556527277.500988	0
1556527277.502147	23.281509
1556527277.503149	147.094932
1556527277.504215	165.818832
1556527277.505286	134.097952
1556527277.506286	0
1556527277.507286	0
1556527277.508286	0
1556527277.509286	0
1556527277.510286	0
1556527277.511865	8.396028
1556527277.512865	0
1556527277.514119	4.901206
1556527277.515119	0
1556527277.516119	0
1556527277.517785	3.013332
1556527277.518785	0
1556527277.519785	0
1556527277.520785	0
1556527277.521785	0
1556527277.523469	1.943624
1556527277.524469	0
1556527277.525469	0
1556527277.527206	2.956233
1556527277.528206	0
1556527277.529709	13.240118
1556527277.530762	157.391304
1556527277.531765	132.168291
1556527277.532770	153.903677
1556527277.534137	88.890129
1556527277.535137	0
1556527277.536137	0
1556527277.537137	0
1556527277.538137	0
1556527277.539155	8.806196
1556527277.540155	0
1556527277.541155	0
1556527277.542155	0
1556527277.543155	0
1556527277.544473	6.232145
1556527277.545933	50.372306
1556527277.547929	73.846154
1556527277.549776	17.943462
1556527277.550776	0
1556527277.551776	0
1556527277.552776	0
1556527277.553858	13.531920
1556527277.555227	145.253918
1556527277.556233	142.775065
1556527277.557475	151.192322
1556527277.558487	149.112158
1556527277.559502	177.883016
1556527277.560518	163.078367
1556527277.561646	107.735363
1556527277.562646	0
1556527277.563646	0
1556527277.565125	22.228070
1556527277.566215	40.538933
1556527277.567215	0
1556527277.568215	0
1556527277.569215	0
1556527277.570215	0
1556527277.571215	0
1556527277.572215	0
1556527277.573568	4.507247
1556527277.574573	21.986240
1556527277.575573	0
1556527277.576573	0
1556527277.577573	0
1556527277.578573	0
1556527277.579573	0
1556527277.581292	4.932685
1556527277.582292	0
1556527277.583292	0
1556527277.584292	0
1556527277.585292	0
1556527277.586292	0
1556527277.587469	3.576827
1556527277.588469	0
1556527277.589469	0
1556527277.591466	8.292054
1556527277.592466	0
1556527277.593851	4.631747
1556527277.594851	0
1556527277.595851	0
1556527277.597527	6.010637
1556527277.598527	0
1556527277.599527	0
1556527277.600527	0
1556527277.602143	23.112856
1556527277.603143	0
1556527277.604143	0
1556527277.605831	45.960176
1556527277.606831	0
1556527277.607831	0
1556527277.608845	10.995729
1556527277.610211	80.879735
1556527277.611214	165.210364
1556527277.612495	146.605621
1556527277.614081	118.417318
1556527277.615160	153.566063
1556527277.616260	140.594712
1556527277.617309	179.025455
1556527277.618309	0
1556527277.619309	0
1556527277.620309	0
1556527277.621309	0
1556527277.622309	0
1556527277.623309	0
1556527277.624309	0
1556527277.625309	0
1556527277.626308	0
1556527277.627308	0
1556527277.628682	2.914153
1556527277.629682	0
1556527277.630682	0
1556527277.631682	0
1556527277.633584	6.760761
1556527277.634584	0
1556527277.635584	0
1556527277.636584	0
1556527277.637934	2.539655
1556527277.638934	0
1556527277.639934	0
1556527277.640934	0
1556527277.641934	0
1556527277.642934	0
1556527277.644349	1.722080
1556527277.645349	0
1556527277.646349	0
