stopTime:1556527293.000000s and checkThroughInterval:0.001000s
[1556527277.498652 s]:	received 758752 bytes....
[1556527277.498988 s]:	received 765992 bytes....
[1556527277.499064 s]:	received 767440 bytes....
[1556527277.502147 s]:	received 775632 bytes....
[1556527277.502185 s]:	received 777576 bytes....
[1556527277.502554 s]:	received 781920 bytes....
[1556527277.502843 s]:	received 790112 bytes....
[1556527277.502861 s]:	received 790608 bytes....
[1556527277.503149 s]:	received 794952 bytes....
[1556527277.503249 s]:	received 799296 bytes....
[1556527277.503298 s]:	received 800744 bytes....
[1556527277.503532 s]:	received 805088 bytes....
[1556527277.503711 s]:	received 809432 bytes....
[1556527277.503849 s]:	received 810880 bytes....
[1556527277.503979 s]:	received 812328 bytes....
[1556527277.504024 s]:	received 813776 bytes....
[1556527277.504060 s]:	received 815224 bytes....
[1556527277.504136 s]:	received 816672 bytes....
[1556527277.504215 s]:	received 818120 bytes....
[1556527277.504520 s]:	received 822464 bytes....
[1556527277.504567 s]:	received 823912 bytes....
[1556527277.504590 s]:	received 825360 bytes....
[1556527277.504962 s]:	received 829704 bytes....
[1556527277.505286 s]:	received 836944 bytes....
[1556527277.505328 s]:	received 839840 bytes....
[1556527277.506146 s]:	received 841288 bytes....
[1556527277.506198 s]:	received 842736 bytes....
[1556527277.511865 s]:	received 844184 bytes....
[1556527277.514119 s]:	received 845632 bytes....
[1556527277.517785 s]:	received 847080 bytes....
[1556527277.523469 s]:	received 848528 bytes....
[1556527277.527206 s]:	received 849976 bytes....
[1556527277.529709 s]:	received 854320 bytes....
[1556527277.530132 s]:	received 862512 bytes....
[1556527277.530150 s]:	received 864456 bytes....
[1556527277.530216 s]:	received 865904 bytes....
[1556527277.530286 s]:	received 867352 bytes....
[1556527277.530620 s]:	received 873144 bytes....
[1556527277.530693 s]:	received 874592 bytes....
[1556527277.530762 s]:	received 876040 bytes....
[1556527277.531129 s]:	received 880384 bytes....
[1556527277.531176 s]:	received 884728 bytes....
[1556527277.531471 s]:	received 889072 bytes....
[1556527277.531765 s]:	received 893416 bytes....
[1556527277.532211 s]:	received 900656 bytes....
[1556527277.532258 s]:	received 906448 bytes....
[1556527277.532336 s]:	received 907896 bytes....
[1556527277.532397 s]:	received 909344 bytes....
[1556527277.532770 s]:	received 913688 bytes....
[1556527277.533085 s]:	received 921880 bytes....
[1556527277.533102 s]:	received 922376 bytes....
[1556527277.533123 s]:	received 923824 bytes....
[1556527277.533471 s]:	received 928168 bytes....
[1556527277.534137 s]:	received 929616 bytes....
[1556527277.534945 s]:	received 931064 bytes....
[1556527277.539155 s]:	received 935408 bytes....
[1556527277.544473 s]:	received 939752 bytes....
[1556527277.544559 s]:	received 941200 bytes....
[1556527277.545933 s]:	received 949392 bytes....
[1556527277.545959 s]:	received 951336 bytes....
[1556527277.546355 s]:	received 955680 bytes....
[1556527277.546779 s]:	received 963872 bytes....
[1556527277.546798 s]:	received 965816 bytes....
[1556527277.547929 s]:	received 968712 bytes....
[1556527277.549776 s]:	received 973056 bytes....
[1556527277.550602 s]:	received 975952 bytes....
[1556527277.553858 s]:	received 980296 bytes....
[1556527277.553914 s]:	received 981744 bytes....
[1556527277.553967 s]:	received 983192 bytes....
[1556527277.553997 s]:	received 984640 bytes....
[1556527277.554297 s]:	received 988984 bytes....
[1556527277.554645 s]:	received 993328 bytes....
[1556527277.554704 s]:	received 999120 bytes....
[1556527277.554780 s]:	received 1000568 bytes....
[1556527277.554849 s]:	received 1002016 bytes....
